employee_id,first_name,last_name,department,level,location,gender,hire_date,tenure_years,annual_base_salary,currency,performance_rating,comp_satisfaction_score,commission_eligible,sales_target_attainment_pct,sales_commission_base,retention_bonus_flag,spot_bonus_event,role_median_salary,pct_vs_role_median,market_benchmark_salary,pct_vs_market,attrition_risk_score,left_company,performance_bonus,sales_commission,retention_bonus,spot_bonus,total_bonus
EMP1000,Angel,Hill,Engineering,Manager,Remote - UK,Male,2026-02-27,0.5,161000.0,USD,4.5,7.9,False,,,False,False,202800.0,-20.6,202200.0,-20.4,36.5,0,8050.0,0.0,0.0,0.0,8050.0
EMP1001,Jill,Rhodes,Marketing,Junior,Lagos,Female,2025-08-03,1.0,41800.0,USD,3.0,4.2,False,,,False,False,40900.0,2.2,40700.0,2.7,46.5,0,1254.0,0.0,0.0,0.0,1254.0
EMP1002,Christopher,Henderson,Customer Support,Lead,Lagos,Male,2024-05-26,2.3,42400.0,USD,3.5,4.4,False,,,False,False,46800.0,-9.4,52200.0,-18.8,65.1,1,2120.0,0.0,0.0,0.0,2120.0
EMP1003,Jeffery,Wagner,Product,Lead,Lagos,Female,2023-07-23,3.0,108400.0,USD,3.5,4.1,False,,,False,False,111500.0,-2.8,116700.0,-7.1,39.8,0,5420.0,0.0,0.0,0.0,5420.0
EMP1004,James,Santos,Engineering,Senior,Lagos,Male,2024-06-16,2.1,71400.0,USD,4.0,6.8,False,,,False,False,84300.0,-15.3,84000.0,-15.0,40.8,0,5712.0,0.0,0.0,0.0,5712.0
EMP1005,Jeffrey,Lawrence,Sales,Mid,Abuja,Female,2022-02-22,4.5,48100.0,USD,2.0,6.6,True,90.4,16835.0,False,False,48100.0,0.0,48800.0,-1.4,27.9,0,0.0,1521.88,0.0,0.0,1521.88
EMP1006,Adam,Shaffer,HR & People,Junior,Lagos,Male,2023-06-27,3.2,50800.0,USD,3.0,5.9,False,,,False,False,45700.0,11.2,51600.0,-1.6,37.7,0,1524.0,0.0,0.0,0.0,1524.0
EMP1007,Matthew,Moore,Engineering,Junior,Lagos,Female,2023-04-08,3.4,69900.0,USD,4.0,6.7,False,,,False,False,65600.0,6.6,66600.0,5.0,15.5,0,5592.0,0.0,0.0,0.0,5592.0
EMP1008,Matthew,Davis,HR & People,Mid,Port Harcourt,Female,2026-07-05,0.2,32500.0,USD,3.5,5.5,False,,,False,False,47000.0,-30.9,46500.0,-30.1,73.3,1,325.0,0.0,0.0,0.0,325.0
EMP1009,Melanie,Munoz,Marketing,Junior,Abuja,Male,2025-11-13,0.7,28800.0,USD,3.0,5.6,False,,,False,False,35950.0,-19.9,35600.0,-19.1,45.6,0,604.8,0.0,0.0,0.0,604.8
